,last,high,low,lowestAsk,highestBid,percentChange,baseVolume,quoteVolume,time,second,minute,hour,week_day,week_number,month
9655,0.000187869029374124,0.0002,0.00018732000000037,0.000194137054704818,0.000188035723214983,-4.79046259,103.665250425291622219,535305.48436814489969794,1552502820.0,0,47,21,2,3,3
9714,0.000187869029374124,0.0002,0.00018732000000037,0.000194137054704818,0.000188035723214983,-4.79046259,103.665250425291622219,535305.48436814489969794,1552502880.0,0,48,21,2,3,3
9776,0.000187869029374124,0.0002,0.00018732000000037,0.000194137054704818,0.000188035723214983,-4.79046259,103.665250425291622219,535305.48436814489969794,1552502940.0,0,49,21,2,3,3
9836,0.000187869029374124,0.0002,0.00018732000000037,0.00019395524553751,0.000188052647107016,-4.79046259,103.665250425291622219,535305.48436814489969794,1552503000.0,0,50,21,2,3,3
9896,0.000187869029374124,0.0002,0.00018732000000037,0.000193869359226778,0.000188005640057,-4.79046259,103.665250425291622219,535305.48436814489969794,1552503060.0,0,51,21,2,3,3
9948,0.000187869029374124,0.0002,0.00018732000000037,0.000193869359226778,0.000188005640057,-4.79046259,103.665250425291622219,535305.48436814489969794,1552503120.0,0,52,21,2,3,3
9997,0.000187869029374124,0.0002,0.00018732000000037,0.000193752716974488,0.000188075811388561,-4.79046259,103.665250425291622219,535305.48436814489969794,1552503180.0,0,53,21,2,3,3
10058,0.000187869029374124,0.0002,0.00018732000000037,0.000193752716974488,0.000188075811388561,-4.79046259,103.665250425291622219,535305.48436814489969794,1552503240.0,0,54,21,2,3,3
10118,0.000187869029374124,0.0002,0.00018732000000037,0.000193752716974488,0.000188075811388561,-4.79046259,103.665250425291622219,535305.48436814489969794,1552503300.0,0,55,21,2,3,3
10180,0.000187869029374124,0.0002,0.00018732000000037,0.000193533025306494,0.000188092738888674,-4.79046259,103.665250425291622219,535305.48436814489969794,1552503360.0,0,56,21,2,3,3
10240,0.000187869029374124,0.0002,0.00018732000000037,0.000193462013521124,0.000188098381727269,-4.79046259,103.665250425291622219,535305.48436814489969794,1552503420.0,0,57,21,2,3,3
10301,0.000187869029374124,0.0002,0.00018732000000037,0.000193462013521124,0.000188098381727269,-4.79046259,103.665250425291622219,535305.48436814489969794,1552503480.0,0,58,21,2,3,3
10363,0.000187869029374124,0.0002,0.00018732000000037,0.000193462013521124,0.000188098381727269,-4.79046259,103.665250425291622219,535305.48436814489969794,1552503540.0,0,59,21,2,3,3
10424,0.000187869029374124,0.0002,0.00018732000000037,0.000193462013521124,0.000188098381727269,-4.79046259,103.665250425291622219,535305.48436814489969794,1552503600.0,0,0,22,2,3,3
10485,0.000187869029374124,0.0002,0.00018732000000037,0.00019323810417846,0.00018811907358383,-4.79046259,103.665250425291622219,535305.48436814489969794,1552503660.0,0,1,22,2,3,3
10546,0.000187869029374124,0.0002,0.00018732000000037,0.00019323810417846,0.00018811907358383,-4.79046259,103.665250425291622219,535305.48436814489969794,1552503720.0,0,2,22,2,3,3
10608,0.000187869029374124,0.0002,0.00018732000000037,0.00019323810417846,0.00018811907358383,-4.79046259,103.665250425291622219,535305.48436814489969794,1552503780.0,0,3,22,2,3,3
10669,0.000187869029374124,0.0002,0.00018732000000037,0.000193010264958093,0.000188136004977697,-4.79046259,103.665250425291622219,535305.48436814489969794,1552503840.0,0,4,22,2,3,3
10729,0.000187869029374124,0.0002,0.00018732000000037,0.000193010264958093,0.000188136004977697,-4.79046259,103.665250425291622219,535305.48436814489969794,1552503900.0,0,5,22,2,3,3
10791,0.000187869029374124,0.0002,0.00018732000000037,0.000192851470171121,0.000188005640057,-4.79046259,103.665250425291622219,535305.48436814489969794,1552503960.0,0,6,22,2,3,3
10851,0.000187869029374124,0.0002,0.00018732000000037,0.000192781501555347,0.000188151056384886,-4.79046259,103.665250425291622219,535305.48436814489969794,1552504020.0,0,7,22,2,3,3
10911,0.000192715044123837,0.0002,0.00018732000000037,0.000192696945763053,0.000188172751183366,-2.33456646,103.816031786700321855,536087.89013254287338542,1552504080.0,0,8,22,2,3,3
